GEO_ID,STATE,NAME,Local Tax rate state average,Local Tax Rate
id,Name Of State,Geographic Area Name,Local_tax_rate_state_average,local_tax_rate
0500000US01001,Alabama,"Autauga County, Alabama",4.91%,4.942
0500000US01003,Alabama,"Baldwin County, Alabama",4.91%,4.674
0500000US01005,Alabama,"Barbour County, Alabama",4.91%,5.045
0500000US01007,Alabama,"Bibb County, Alabama",4.91%,4.89
0500000US01009,Alabama,"Blount County, Alabama",4.91%,4.701
0500000US01011,Alabama,"Bullock County, Alabama",4.91%,5.006
0500000US01013,Alabama,"Butler County, Alabama",4.91%,5.02
0500000US01015,Alabama,"Calhoun County, Alabama",4.91%,4.62
0500000US01017,Alabama,"Chambers County, Alabama",4.91%,5.33
0500000US01019,Alabama,"Cherokee County, Alabama",4.91%,5.008
0500000US01021,Alabama,"Chilton County, Alabama",4.91%,4.888
0500000US01023,Alabama,"Choctaw County, Alabama",4.91%,5.079
0500000US01025,Alabama,"Clarke County, Alabama",4.91%,4.76
0500000US01027,Alabama,"Clay County, Alabama",4.91%,4.957
0500000US01029,Alabama,"Cleburne County, Alabama",4.91%,4.652
0500000US01031,Alabama,"Coffee County, Alabama",4.91%,5.025
0500000US01033,Alabama,"Colbert County, Alabama",4.91%,5.035
0500000US01035,Alabama,"Conecuh County, Alabama",4.91%,4.952
0500000US01037,Alabama,"Coosa County, Alabama",4.91%,4.957
0500000US01039,Alabama,"Covington County, Alabama",4.91%,4.962
0500000US01041,Alabama,"Crenshaw County, Alabama",4.91%,4.876
0500000US01043,Alabama,"Cullman County, Alabama",4.91%,5.109
0500000US01045,Alabama,"Dale County, Alabama",4.91%,5.008
0500000US01047,Alabama,"Dallas County, Alabama",4.91%,4.998
0500000US01049,Alabama,"DeKalb County, Alabama",4.91%,4.709
0500000US01051,Alabama,"Elmore County, Alabama",4.91%,5.175
0500000US01053,Alabama,"Escambia County, Alabama",4.91%,4.689
0500000US01055,Alabama,"Etowah County, Alabama",4.91%,4.912
0500000US01057,Alabama,"Fayette County, Alabama",4.91%,4.883
0500000US01059,Alabama,"Franklin County, Alabama",4.91%,5.089
0500000US01061,Alabama,"Geneva County, Alabama",4.91%,4.871
0500000US01063,Alabama,"Greene County, Alabama",4.91%,5.335
0500000US01065,Alabama,"Hale County, Alabama",4.91%,4.932
0500000US01067,Alabama,"Henry County, Alabama",4.91%,4.969
0500000US01069,Alabama,"Houston County, Alabama",4.91%,4.63
0500000US01071,Alabama,"Jackson County, Alabama",4.91%,5.087
0500000US01073,Alabama,"Jefferson County, Alabama",4.91%,4.77
0500000US01075,Alabama,"Lamar County, Alabama",4.91%,5.038
0500000US01077,Alabama,"Lauderdale County, Alabama",4.91%,4.701
0500000US01079,Alabama,"Lawrence County, Alabama",4.91%,4.883
0500000US01081,Alabama,"Lee County, Alabama",4.91%,4.461
0500000US01083,Alabama,"Limestone County, Alabama",4.91%,5.101
0500000US01085,Alabama,"Lowndes County, Alabama",4.91%,4.787
0500000US01087,Alabama,"Macon County, Alabama",4.91%,4.952
0500000US01089,Alabama,"Madison County, Alabama",4.91%,4.949
0500000US01091,Alabama,"Marengo County, Alabama",4.91%,4.581
0500000US01093,Alabama,"Marion County, Alabama",4.91%,5.295
0500000US01095,Alabama,"Marshall County, Alabama",4.91%,4.692
0500000US01097,Alabama,"Mobile County, Alabama",4.91%,5.013
0500000US01099,Alabama,"Monroe County, Alabama",4.91%,5.008
0500000US01101,Alabama,"Montgomery County, Alabama",4.91%,5.047
0500000US01103,Alabama,"Morgan County, Alabama",4.91%,4.731
0500000US01105,Alabama,"Perry County, Alabama",4.91%,4.647
0500000US01107,Alabama,"Pickens County, Alabama",4.91%,4.883
0500000US01109,Alabama,"Pike County, Alabama",4.91%,4.949
0500000US01111,Alabama,"Randolph County, Alabama",4.91%,5.21
0500000US01113,Alabama,"Russell County, Alabama",4.91%,4.863
0500000US01115,Alabama,"St. Clair County, Alabama",4.91%,4.831
0500000US01117,Alabama,"Shelby County, Alabama",4.91%,4.927
0500000US01119,Alabama,"Sumter County, Alabama",4.91%,4.834
0500000US01121,Alabama,"Talladega County, Alabama",4.91%,5.023
0500000US01123,Alabama,"Tallapoosa County, Alabama",4.91%,4.984
0500000US01125,Alabama,"Tuscaloosa County, Alabama",4.91%,4.814
0500000US01127,Alabama,"Walker County, Alabama",4.91%,4.765
0500000US01129,Alabama,"Washington County, Alabama",4.91%,4.804
0500000US01131,Alabama,"Wilcox County, Alabama",4.91%,4.618
0500000US01133,Alabama,"Winston County, Alabama",4.91%,5.03
0500000US02013,Alaska,"Aleutians East Borough, Alaska",1.76%,1.771
0500000US02016,Alaska,"Aleutians West Census Area, Alaska",1.76%,1.691
0500000US02020,Alaska,"Anchorage Municipality, Alaska",1.76%,1.82
0500000US02050,Alaska,"Bethel Census Area, Alaska",1.76%,1.753
0500000US02070,Alaska,"Dillingham Census Area, Alaska",1.76%,1.72
0500000US02090,Alaska,"Fairbanks North Star Borough, Alaska",1.76%,1.708
0500000US02100,Alaska,"Haines Borough, Alaska",1.76%,1.8
0500000US02105,Alaska,"Hoonah-Angoon Census Area, Alaska",1.76%,1.655
0500000US02110,Alaska,"Juneau City and Borough, Alaska",1.76%,1.742
0500000US02122,Alaska,"Kenai Peninsula Borough, Alaska",1.76%,1.795
0500000US02130,Alaska,"Ketchikan Gateway Borough, Alaska",1.76%,1.881
0500000US02150,Alaska,"Kodiak Island Borough, Alaska",1.76%,1.796
0500000US02158,Alaska,"Kusilvak Census Area, Alaska",1.76%,1.687
0500000US02170,Alaska,"Matanuska-Susitna Borough, Alaska",1.76%,1.758
0500000US02180,Alaska,"Nome Census Area, Alaska",1.76%,1.752
0500000US02185,Alaska,"North Slope Borough, Alaska",1.76%,1.911
0500000US02188,Alaska,"Northwest Arctic Borough, Alaska",1.76%,1.671
0500000US02195,Alaska,"Petersburg Borough, Alaska",1.76%,1.726
0500000US02198,Alaska,"Prince of Wales-Hyder Census Area, Alaska",1.76%,1.788
0500000US02220,Alaska,"Sitka City and Borough, Alaska",1.76%,1.845
0500000US02240,Alaska,"Southeast Fairbanks Census Area, Alaska",1.76%,1.793
0500000US02261,Alaska,"Valdez-Cordova Census Area, Alaska",1.76%,1.915
0500000US02275,Alaska,"Wrangell City and Borough, Alaska",1.76%,1.673
0500000US02290,Alaska,"Yukon-Koyukuk Census Area, Alaska",1.76%,1.847
0500000US02230,Alaska,"Skagway Municipality, Alaska",1.76%,1.725
0500000US02068,Alaska,"Denali Borough, Alaska",1.76%,1.682
0500000US02282,Alaska,"Yakutat City and Borough, Alaska",1.76%,1.776
0500000US02060,Alaska,"Bristol Bay Borough, Alaska",1.76%,1.671
0500000US02164,Alaska,"Lake and Peninsula Borough, Alaska",1.76%,1.687
0500000US04001,Arizona,"Apache County, Arizona",2.57%,2.71
0500000US04003,Arizona,"Cochise County, Arizona",2.57%,2.447
0500000US04005,Arizona,"Coconino County, Arizona",2.57%,2.538
0500000US04007,Arizona,"Gila County, Arizona",2.57%,2.655
0500000US04009,Arizona,"Graham County, Arizona",2.57%,2.493
0500000US04011,Arizona,"Greenlee County, Arizona",2.57%,2.494
0500000US04012,Arizona,"La Paz County, Arizona",2.57%,2.528
0500000US04013,Arizona,"Maricopa County, Arizona",2.57%,2.61
0500000US04015,Arizona,"Mohave County, Arizona",2.57%,2.596
0500000US04017,Arizona,"Navajo County, Arizona",2.57%,2.621
0500000US04019,Arizona,"Pima County, Arizona",2.57%,2.488
0500000US04021,Arizona,"Pinal County, Arizona",2.57%,2.681
0500000US04023,Arizona,"Santa Cruz County, Arizona",2.57%,2.565
0500000US04025,Arizona,"Yavapai County, Arizona",2.57%,2.567
0500000US04027,Arizona,"Yuma County, Arizona",2.57%,2.558
0500000US05001,Arkansas,"Arkansas County, Arkansas",2.76%,2.778
0500000US05003,Arkansas,"Ashley County, Arkansas",2.76%,2.55
0500000US05005,Arkansas,"Baxter County, Arkansas",2.76%,2.781
0500000US05007,Arkansas,"Benton County, Arkansas",2.76%,2.749
0500000US05009,Arkansas,"Boone County, Arkansas",2.76%,2.619
0500000US05011,Arkansas,"Bradley County, Arkansas",2.76%,2.679
0500000US05013,Arkansas,"Calhoun County, Arkansas",2.76%,2.794
0500000US05015,Arkansas,"Carroll County, Arkansas",2.76%,2.596
0500000US05017,Arkansas,"Chicot County, Arkansas",2.76%,2.764
0500000US05019,Arkansas,"Clark County, Arkansas",2.76%,2.891
0500000US05021,Arkansas,"Clay County, Arkansas",2.76%,2.826
0500000US05023,Arkansas,"Cleburne County, Arkansas",2.76%,2.846
0500000US05025,Arkansas,"Cleveland County, Arkansas",2.76%,2.754
0500000US05027,Arkansas,"Columbia County, Arkansas",2.76%,2.757
0500000US05029,Arkansas,"Conway County, Arkansas",2.76%,2.748
0500000US05031,Arkansas,"Craighead County, Arkansas",2.76%,3.055
0500000US05033,Arkansas,"Crawford County, Arkansas",2.76%,2.64
0500000US05035,Arkansas,"Crittenden County, Arkansas",2.76%,2.783
0500000US05037,Arkansas,"Cross County, Arkansas",2.76%,2.97
0500000US05039,Arkansas,"Dallas County, Arkansas",2.76%,2.949
0500000US05041,Arkansas,"Desha County, Arkansas",2.76%,2.76
0500000US05043,Arkansas,"Drew County, Arkansas",2.76%,2.861
0500000US05045,Arkansas,"Faulkner County, Arkansas",2.76%,2.815
0500000US05047,Arkansas,"Franklin County, Arkansas",2.76%,2.81
0500000US05049,Arkansas,"Fulton County, Arkansas",2.76%,2.757
0500000US05051,Arkansas,"Garland County, Arkansas",2.76%,2.681
0500000US05053,Arkansas,"Grant County, Arkansas",2.76%,2.681
0500000US05055,Arkansas,"Greene County, Arkansas",2.76%,2.639
0500000US05057,Arkansas,"Hempstead County, Arkansas",2.76%,2.645
0500000US05059,Arkansas,"Hot Spring County, Arkansas",2.76%,2.861
0500000US05061,Arkansas,"Howard County, Arkansas",2.76%,2.8
0500000US05063,Arkansas,"Independence County, Arkansas",2.76%,2.679
0500000US05065,Arkansas,"Izard County, Arkansas",2.76%,2.887
0500000US05067,Arkansas,"Jackson County, Arkansas",2.76%,2.774
0500000US05069,Arkansas,"Jefferson County, Arkansas",2.76%,2.651
0500000US05071,Arkansas,"Johnson County, Arkansas",2.76%,2.79
0500000US05073,Arkansas,"Lafayette County, Arkansas",2.76%,2.622
0500000US05075,Arkansas,"Lawrence County, Arkansas",2.76%,2.832
0500000US05077,Arkansas,"Lee County, Arkansas",2.76%,2.665
0500000US05079,Arkansas,"Lincoln County, Arkansas",2.76%,2.8
0500000US05081,Arkansas,"Little River County, Arkansas",2.76%,2.521
0500000US05083,Arkansas,"Logan County, Arkansas",2.76%,2.939
0500000US05085,Arkansas,"Lonoke County, Arkansas",2.76%,2.683
0500000US05087,Arkansas,"Madison County, Arkansas",2.76%,2.741
0500000US05089,Arkansas,"Marion County, Arkansas",2.76%,2.782
0500000US05091,Arkansas,"Miller County, Arkansas",2.76%,2.625
0500000US05093,Arkansas,"Mississippi County, Arkansas",2.76%,2.636
0500000US05095,Arkansas,"Monroe County, Arkansas",2.76%,2.766
0500000US05097,Arkansas,"Montgomery County, Arkansas",2.76%,2.785
0500000US05099,Arkansas,"Nevada County, Arkansas",2.76%,2.909
0500000US05101,Arkansas,"Newton County, Arkansas",2.76%,2.837
0500000US05103,Arkansas,"Ouachita County, Arkansas",2.76%,2.738
0500000US05105,Arkansas,"Perry County, Arkansas",2.76%,2.684
0500000US05107,Arkansas,"Phillips County, Arkansas",2.76%,2.749
0500000US05109,Arkansas,"Pike County, Arkansas",2.76%,2.876
0500000US05111,Arkansas,"Poinsett County, Arkansas",2.76%,2.788
0500000US05113,Arkansas,"Polk County, Arkansas",2.76%,2.745
0500000US05115,Arkansas,"Pope County, Arkansas",2.76%,2.756
0500000US05117,Arkansas,"Prairie County, Arkansas",2.76%,2.88
0500000US05119,Arkansas,"Pulaski County, Arkansas",2.76%,2.727
0500000US05121,Arkansas,"Randolph County, Arkansas",2.76%,2.695
0500000US05123,Arkansas,"St. Francis County, Arkansas",2.76%,2.859
0500000US05125,Arkansas,"Saline County, Arkansas",2.76%,2.68
0500000US05127,Arkansas,"Scott County, Arkansas",2.76%,2.771
0500000US05129,Arkansas,"Searcy County, Arkansas",2.76%,2.72
0500000US05131,Arkansas,"Sebastian County, Arkansas",2.76%,2.663
0500000US05133,Arkansas,"Sevier County, Arkansas",2.76%,2.766
0500000US05135,Arkansas,"Sharp County, Arkansas",2.76%,2.967
0500000US05137,Arkansas,"Stone County, Arkansas",2.76%,2.779
0500000US05139,Arkansas,"Union County, Arkansas",2.76%,2.847
0500000US05141,Arkansas,"Van Buren County, Arkansas",2.76%,2.724
0500000US05143,Arkansas,"Washington County, Arkansas",2.76%,2.538
0500000US05145,Arkansas,"White County, Arkansas",2.76%,2.821
0500000US05147,Arkansas,"Woodruff County, Arkansas",2.76%,2.709
0500000US05149,Arkansas,"Yell County, Arkansas",2.76%,2.756
0500000US06001,California,"Alameda County, California",0.94%,0.868
0500000US06005,California,"Amador County, California",0.94%,0.903
0500000US06007,California,"Butte County, California",0.94%,0.961
0500000US06009,California,"Calaveras County, California",0.94%,0.936
0500000US06011,California,"Colusa County, California",0.94%,0.919
0500000US06013,California,"Contra Costa County, California",0.94%,0.899
0500000US06015,California,"Del Norte County, California",0.94%,1.007
0500000US06017,California,"El Dorado County, California",0.94%,0.86
0500000US06019,California,"Fresno County, California",0.94%,0.931
0500000US06021,California,"Glenn County, California",0.94%,0.959
0500000US06023,California,"Humboldt County, California",0.94%,0.932
0500000US06025,California,"Imperial County, California",0.94%,1.013
0500000US06027,California,"Inyo County, California",0.94%,0.92
0500000US06029,California,"Kern County, California",0.94%,0.939
0500000US06031,California,"Kings County, California",0.94%,0.983
0500000US06033,California,"Lake County, California",0.94%,1.047
0500000US06035,California,"Lassen County, California",0.94%,0.827
0500000US06037,California,"Los Angeles County, California",0.94%,0.929
0500000US06039,California,"Madera County, California",0.94%,0.955
0500000US06041,California,"Marin County, California",0.94%,0.986
0500000US06043,California,"Mariposa County, California",0.94%,0.933
0500000US06045,California,"Mendocino County, California",0.94%,0.981
0500000US06047,California,"Merced County, California",0.94%,0.97
0500000US06049,California,"Modoc County, California",0.94%,0.957
0500000US06051,California,"Mono County, California",0.94%,0.921
0500000US06053,California,"Monterey County, California",0.94%,0.898
0500000US06055,California,"Napa County, California",0.94%,0.948
0500000US06057,California,"Nevada County, California",0.94%,0.885
0500000US06059,California,"Orange County, California",0.94%,0.921
0500000US06061,California,"Placer County, California",0.94%,0.942
0500000US06063,California,"Plumas County, California",0.94%,0.954
0500000US06065,California,"Riverside County, California",0.94%,0.952
0500000US06067,California,"Sacramento County, California",0.94%,0.944
0500000US06069,California,"San Benito County, California",0.94%,0.95
0500000US06071,California,"San Bernardino County, California",0.94%,0.92
0500000US06073,California,"San Diego County, California",0.94%,0.954
0500000US06075,California,"San Francisco County, California",0.94%,0.932
0500000US06077,California,"San Joaquin County, California",0.94%,0.964
0500000US06079,California,"San Luis Obispo County, California",0.94%,0.868
0500000US06081,California,"San Mateo County, California",0.94%,1.015
0500000US06083,California,"Santa Barbara County, California",0.94%,0.878
0500000US06085,California,"Santa Clara County, California",0.94%,0.957
0500000US06087,California,"Santa Cruz County, California",0.94%,0.914
0500000US06089,California,"Shasta County, California",0.94%,0.933
0500000US06093,California,"Siskiyou County, California",0.94%,0.948
0500000US06095,California,"Solano County, California",0.94%,0.938
0500000US06097,California,"Sonoma County, California",0.94%,0.917
0500000US06099,California,"Stanislaus County, California",0.94%,0.914
0500000US06101,California,"Sutter County, California",0.94%,0.933
0500000US06103,California,"Tehama County, California",0.94%,0.983
0500000US06105,California,"Trinity County, California",0.94%,1.008
0500000US06107,California,"Tulare County, California",0.94%,0.87
0500000US06109,California,"Tuolumne County, California",0.94%,0.94
0500000US06111,California,"Ventura County, California",0.94%,0.93
0500000US06113,California,"Yolo County, California",0.94%,0.979
0500000US06115,California,"Yuba County, California",0.94%,1.019
0500000US06091,California,"Sierra County, California",0.94%,0.939
0500000US06003,California,"Alpine County, California",0.94%,0.939
0500000US08001,Colorado,"Adams County, Colorado",4.54%,4.542
0500000US08003,Colorado,"Alamosa County, Colorado",4.54%,4.449
0500000US08005,Colorado,"Arapahoe County, Colorado",4.54%,4.678
0500000US08007,Colorado,"Archuleta County, Colorado",4.54%,4.44
0500000US08009,Colorado,"Baca County, Colorado",4.54%,4.438
0500000US08011,Colorado,"Bent County, Colorado",4.54%,4.406
0500000US08013,Colorado,"Boulder County, Colorado",4.54%,4.799
0500000US08014,Colorado,"Broomfield County, Colorado",4.54%,4.467
0500000US08015,Colorado,"Chaffee County, Colorado",4.54%,4.565
0500000US08019,Colorado,"Clear Creek County, Colorado",4.54%,4.867
0500000US08021,Colorado,"Conejos County, Colorado",4.54%,4.461
0500000US08023,Colorado,"Costilla County, Colorado",4.54%,4.644
0500000US08025,Colorado,"Crowley County, Colorado",4.54%,4.397
0500000US08027,Colorado,"Custer County, Colorado",4.54%,4.535
0500000US08029,Colorado,"Delta County, Colorado",4.54%,4.783
0500000US08031,Colorado,"Denver County, Colorado",4.54%,4.713
0500000US08035,Colorado,"Douglas County, Colorado",4.54%,4.545
0500000US08037,Colorado,"Eagle County, Colorado",4.54%,4.579
0500000US08039,Colorado,"Elbert County, Colorado",4.54%,4.59
0500000US08041,Colorado,"El Paso County, Colorado",4.54%,4.76
0500000US08043,Colorado,"Fremont County, Colorado",4.54%,4.467
